"post_id","title","description"
"1109","Meet the queer women organizers of Shanghai's LGBTQ community","A profile of four women at the center of Shanghai's LGBTQ community, including Roxie's founder Ting Ting Liang, exploring how they work to strengthen visibility and support for the city's queer community."
"1114","Women experts discuss gender issues and how to build successful China-related careers in London Wanel","Three women experts in media, academia, and consulting discuss building China-related careers and gender issues at a NüVoices and Young China Watchers London panel event."
"1128","NüVoices invites you to our London Launch Wanel ""Being feminist in China: Gender issues across generations""","NüVoices hosted a London launch panel exploring feminism in China across generations, examining gender inequality, the #MeToo movement, feminist activism, and gender-based violence in contemporary Mainland China and Hong Kong."
"1195","NüVoices DC Event: Life under Chinese Rule in Xinjiang","A NüVoices DC event featuring Zubayra Shamseden and Irade Kashgary discussing their personal experiences as Uyghur women living under Chinese rule in Xinjiang, moderated by Elise Anderson."
"1209","WATCH: Over 80 attend NüVoices London launch wanel ""Being feminist in China: Gender issues across generations""","Over 80 people attended NüVoices' London launch at SOAS, featuring a panel on feminism in China with speakers discussing gender inequality, #MeToo, and women's changing roles across generations."
"1225","Q&A with NüVoices board member Karoline Kan, author of Under Red Skies","Karoline Kan, NüVoices board member and former New York Times reporter, discusses her debut memoir Under Red Skies, which traces three generations of her family's experiences navigating poverty, policy, and social change in modern China."
"1237","DC Event recap: Uyghur women on the ongoing human rights crisis in their homeland","A recap of the inaugural Washington DC NüVoices chapter panel featuring two Uyghur women and a moderator discussing the ongoing human rights crisis affecting Uyghur communities, including cases of political prisoners and diaspora experiences."
"1256","NüVoices Podcast #11: Queer culture, perception, and representation within China, with Alex Li","Alex Li of Vice China joins to discuss queer culture, bisexuality, and LGBTQ+ representation in Chinese media, along with self-care recommendations."
"1346","NüVoices London wanel ft. board member Karoline Kan, author of Under Red Skies","NüVoices and Young China Watchers London co-hosted a panel discussion with Karoline Kan about her memoir ""Under Red Skies,"" the first English-language memoir by a Chinese millennial."
"1852","Event Recap: NüVoices' Hong Kong chapter talks #MeToo and LGBT issues in China","NüVoices' Hong Kong chapter held an open discussion on October 4, where twelve members from law, media, business, and academia shared perspectives on the #MeToo movement and LGBT issues in China and Hong Kong."
"2722","NüVoices Podcast #12: Shui, on Beijing's 'zine scene","In this episode, Shuilam Wong (Shui) discusses co-founding the Hole in the Wall Collective with Jinna Kaneko to create indie zines in Beijing, her multicultural upbringing, and her comic art style inspired by Old Master Q."
"2733","NüVoices Podcast #13: ‘Black Mirror’ China and Dystopian Female Futures with Cate Cadell","Cate Cadell joins the NüVoices podcast to discuss Chinese government surveillance, its impact on women, and the ethics of emerging technologies like CRISPR and AI in a wide-ranging conversation."
"2738","NüVoices Podcast #14: Women and Chinese Sci-Fi: Live at the Bookworm with Tang Fei and Ji Shaoting","A live episode from the Beijing Bookworm Literary Festival featuring science fiction authors Tang Fei and Ji Shaoting discussing the challenges facing female Chinese sci-fi writers, including gender discrimination and expanding the market for Chinese science fiction."
"2744","NüVoices Podcast #15: Rocking while female, with Anlin Fan of Xiao Wang (小王)","Co-host Alice Xin Liu interviews Anlin Fan, co-founder and lead singer of Chinese rock band Xiao Wang, about growing up in China, the Riot Grrrl movement, starting a band, and feminism and intersectionality."
"1365","Carving out Chinese ideals of female beauty: Visualizations by Artist Su Yang","Artist Su Yang uses large-scale self-portraits and video to examine China's growing cosmetic surgery industry and challenge prevailing beauty standards imposed on women."
"1385","Five podcasts on LGBTQ+ culture in Greater China","A guide to five podcasts exploring LGBTQ+ culture in Mainland China, Taiwan, and Hong Kong, with a focus on queer women's visibility and community-building in the region."
"1413","Overseas Chinese reflect on China's #MeToo Movement from the United States","Chinese students and professionals in the U.S. reflect on China's #MeToo movement, sharing perspectives on sexual harassment, gender issues, and the challenges of activism under government censorship."
"1428","Taiwan's lesbian sex toy and divination shop strives to help queer women accept themselves","Love Boat is a Taipei shop for queer women offering sex toys, divination, and healing services. Founded in 2004, it aims to help LGBTQ+ women embrace their identities."
"1466","NüVoices DC Event: Gelato Social & Museum Hop","A NüVoices DC community event featuring gelato at the Hirshhorn Museum followed by a guided visit to the ""Empresses of China's Forbidden City"" exhibit at the Freer & Sackler Galleries."
"1472","Making it personal: A life writing workshop with Madeleine O’Dea in London","A free life writing workshop led by journalist and author Madeleine O'Dea, held in London on July 3, 2019, covering the challenges of memoir writing with tips, discussion, Q&A, and a book signing."
"1488","Full house of 70+ welcome board member and author Karoline Kan at London wanel","Over 70 attendees gathered at King's College London for a panel co-hosted by NüVoices and Young China Watchers, where board member and author Karoline Kan discussed her memoir Under Red Skies."
"1533","Fiction: A brother comes to visit","Jessie Tu's short fiction follows a woman navigating loneliness and self-doubt while living with an older man, as a visit from her brother prompts quiet reflection over dumplings on a cold winter night."
"1540","NüVoices Podcast #17: Legal advocacy against domestic violence in China, with Siodhbhra Parkin","Siodhbhra Parkin discusses her legal advocacy work against domestic violence in China, the impact of NGO regulations, and efforts to support Chinese rule of law activists and anti-domestic-violence campaigners."
"1589","James Griffiths, author of The Great Firewall of China, discusses censorship and China's women's movement","Author James Griffiths discusses how China's censorship system impacts feminist and activist movements, and how activists find creative ways to circumvent online controls."
"1603","10 Tips for writing life stories from Madeleine O'Dea, author of The Phoenix Years","Madeleine O'Dea shares 10 practical tips for writing memoirs, drawn from her experience authoring The Phoenix Years, focusing on how vivid details build emotional connection with readers."
"1632","Q&A: Young women discuss gender and education in China today","Young women in China discuss their experiences with gender inequality in education and the workforce, highlighting an urban-rural divide in progress toward gender parity."
"1636","B人BEL Magazine Call for Submissions","B人BEL Magazine opens submissions for its second issue, seeking written, photographic, and illustrated stories about underrepresented communities in China, with a deadline of August 31."
"1639","Event Recap: Lü Pin on the Chinese feminist movement's strategies in China and the US","A recap of a NüVoices DC gathering where activist Lü Pin discussed the Chinese feminist movement's organizing strategies, online activism, and opportunities for cross-border solidarity."
"1644","“Your Mother Sacrificed Herself for the Country” – The Idealization of the Female Martyr in China ","This article explores the idealization of female martyrs in China through the figure of Zhao Yiman, a CCP revolutionary celebrated for her resistance to Japanese occupation in 1930s Manchuria."
"1667","Sinobabble Podcast Call for Guest Speakers","Sinobabble, a podcast exploring China's history, politics, society, and culture, invites knowledgeable guest speakers to share their expertise on any area of Chinese studies."
"1680","THEATRE: Chinese creators present ""No Foreigners,"" a show using shopping malls as a portal for telling Chinese diaspora stories","""No Foreigners"" is a multimedia performance by Chinese diaspora creators in Toronto that explores North American Chinese shopping malls as spaces of cultural memory, loss, and resilience through interwoven storylines spanning languages, cities, and generations."
"1690","OPEN CALL: Seeking HK-based Artist for residency at the Centre for Chinese Contemporary Art in Manchester, UK","The British Council Hong Kong, CFCCA, and Phillips invited Hong Kong-based artists to apply for a fully funded 9-week residency at the Centre for Chinese Contemporary Art in Manchester, focused on socially engaged practices."
"2756","NüVoices Podcast #16: The musical life and career of director Zou Shuang (邹爽)","A conversation with director and playwright Zou Shuang, artistic director of the Beijing Music Festival, about her musical upbringing, opera career, and work adapting European musical theater for Chinese audiences."
"2763","NüVoices Podcast #18: Cultivating community in corporate culture, with Chenni Xu","Chenni Xu, corporate communications head for Alipay in North America, discusses navigating corporate culture, building peer networks, finding mentorship, and ensuring your voice is heard in the workplace."
"1709","Call for nominations: Young China Watcher of the Year Award","Young China Watchers announces its second annual Young China Watcher of the Year Award, seeking nominations for young professionals who have contributed to the global understanding of China."
"1714","Navigating my biracial identity as a Chinese-American living in China","Megan Cattel reflects on navigating her biracial Chinese-American identity while living in Shanghai, exploring how perceptions of her race shift depending on where she is in the world."
"1733","Paper Republic: A collective of translators promoting Chinese literature","Paper Republic is a UK-registered charity and translator collective founded in 2007 that promotes contemporary Chinese literature in English through free online translations, a bibliographic database, and literary events."
"1736","NüVoices London Presents: China's underground sex industry and Lotus with Lijia Zhang","NüVoices London hosts a discussion with author Lijia Zhang on her debut novel Lotus, exploring China's underground sex industry, the legal system surrounding it, and the social factors driving its growth."
"1766","Postcard Campaign: Free journalist and #MeToo activist Sophia Huang Xueqin","A postcard campaign organized by NüVoices DC calls for international support for Sophia Huang Xueqin, a feminist journalist and #MeToo activist detained in Guangzhou, China, in October 2019."
"1780","Board Member Karoline Kan Wins 2019 Young China Watcher of the Year","Board member Karoline Kan, Beijing editor at China Dialogue and author of Under Red Skies, was named 2019 Young China Watcher of the Year for her work sharing nuanced perspectives on China and Chinese millennials with international audiences."
"1784","NüVoices Podcast #20: Contemporary Chinese art and techno-orientalism with Xin Wang","Xin Wang, a teaching fellow at the Whitney Museum and NYU Ph.D. student, joins Chenni Xu and Cindy Gao to discuss contemporary Chinese art, Asian futurism, and techno-orientalism."
"1791","Introducing MADE IN: A new podcast promoting Asian-Canadian stories","MADE IN is a podcast by Evelyn Kwong exploring Asian-Canadian identity, featuring conversations on beauty standards, the model minority myth, and the experiences of Asian women navigating life in North America."
"1798","Packed room of 40+ joined London Wanel featuring Lijia Zhang on Lotus and China's sex trade","Author Lijia Zhang discussed her novel Lotus and China's sex trade at a NüVoices wanel in London, moderated by Jessie Lau, drawing over 40 attendees to SOAS on November 7."
"1814","NüVoices Podcast #21: Sino-Black relations with Keisha Brown","Keisha Brown, historian and fellow at the National Committee on U.S.-China Relations, discusses the history of Sino-Black relations, influential African Americans' ties to China, and changing perceptions of race and identity in China."
"1818","Director and screenwriter Wu Nan talks gender, storytelling and her first feature film ""Push and Shove 狗眼看人心""","Wu Nan reflects on gender challenges in China's film industry and her path from two decades of screenwriting to directing her debut feature, Push and Shove (2019)."
"1824","Girl, Interpreted: a new bilingual comedy web series made in Melbourne","Girl, Interpreted is a bilingual Mandarin-English comedy web series from Melbourne about an interpreter navigating cultural clashes and misunderstandings during unexpected assignments."
"1847","NüVoices Podcast #23: Reimagining Hong Kong’s political communities","Jessie Lau joins Joanna Chiu to discuss generational divides over the Hong Kong protests, their impact on families, and how the movement reshaped ideas of Hongkonger identity and diaspora belonging."
"1857","In pictures: Behind the frontlines of the Hong Kong protests","A photo essay by Katherine Cheng documenting moments from behind the frontlines of Hong Kong's pro-democracy protests, which began in June 2019 over a proposed extradition bill."
"1904","NüVoices Podcast #24: Chinese philanthropy in the 21st century, with Emily Weaver","Emily Weaver, a philanthropy consultant with over a decade in China, discusses individual and digital giving, women's roles in philanthropic work, and the impact of China's 2016 foreign NGO law."
"1916","I am a Wuhan girl","A journalist from Wuhan living in Hong Kong reflects on her family under coronavirus lockdown, speaks against rising discrimination toward Chinese people, and shares fond memories of her hometown's culture and food."
"1923","NüVoices Podcast #25: A wealth of anger and a wealth of time – Wuhan and the coronavirus, with Rui Zhong","Rui Zhong of the Wilson Center joins co-host Cindy Gao to discuss the COVID-19 timeline, Chinese government narrative tactics, those most affected within China, and xenophobic responses toward Chinese people worldwide."
"1926","London's Papergang Theatre presents FREEDOM HI 自由閪: A show exploring the Hong Kong protests","Papergang Theatre's FREEDOM HI 自由閪 is a compilation of new writing and performance art by UK-based Hong Kong and British East Asian artists exploring the Hong Kong protests and the diasporic experience."
"1943","Essay: Thrift Stor(i)es","Grace Ouyang explores the cultural taboo around secondhand clothing in Chinese culture through personal stories of her family's laundromat in Queens and her own thrifting habits."
"2654","NüVoices Podcast #19: Leading by example: Female success in the workplace, with Rachel Morarjee","Rachel Morarjee, director of the Economist Corporate Network and former FT correspondent, discusses the 30% Club's work to increase women in leadership roles, navigating modern workplaces, and her transition from journalism."
"1949","NüVoices Podcast #26: Di Wang on LGBTQ rights and representation in China","Di Wang, a feminist researcher and Ph.D. candidate at the University of Wisconsin–Madison, joins NüVoices to discuss LGBTQ rights, representation, and community terminology in China."
"1969","NüProfile: Madeline Leung Coleman on diaspora, feminism and freelance writing","Writer and editor Madeline Leung Coleman discusses her Chinese diaspora identity, the responsibilities of diaspora artists, feminism, and building a career in freelance writing."
"1983","Why is China still so reluctant to help us find our birth parents?","A Chinese adoptee raised in Quebec examines why China's government remains reluctant to help international adoptees find their birth families, decades after the One-Child Policy."
"1987","Opinion: In Hong Kong, the government is weaponising sex to downplay its failures","Sophie Mak examines how Hong Kong's alcohol ban at eateries, justified by claims about intimacy, reflects a pattern of using sex-related narratives to deflect from questionable policy decisions during the coronavirus pandemic."
"2017","NüVoices Podcast #27: U.S.-China cyber competition and cooperation with Julia Voo","Julia Voo of Harvard's China Cyber Policy Initiative discusses U.S.-China cyber competition, the Digital Silk Road, international technical standards, and Track II diplomacy efforts to mitigate cyber confrontation."
"2021","NüVoices Podcast #28: Coronavirus and the racism epidemic, with Sophie Lu and Jessie Tu","NüVoices chair Joanna Chiu speaks with co-founder Sophie Lu and author Jessie Tu about the rise in anti-Asian racism during the COVID-19 pandemic and how Asian communities and allies can respond to hate crimes amid a global health crisis."
"2040","Film: Outcry and Whisper","A documentary filmed over eight years, Outcry and Whisper explores women's resistance against political violence and harassment in Chinese and Hong Kong society through interviews, animation, and archives."
"2056","NüVoices Podcast #30: Foreign correspondence and China, with Megha Rajagopalan","Megha Rajagopalan, international correspondent for BuzzFeed News, joins Chenni Xu to discuss her reporting career across China and the Middle East, and the evolving landscape of foreign correspondence and journalism in China."
"2073","China's #MeToo: In literature and reality, the patriarchy keeps women from helping women. But they're fighting back.","In both Chinese literature and real life, patriarchal systems discourage women from supporting each other, but the #MeToo movement has sparked new forms of resistance against harassment and censorship."
"2077","Ferkat Jawdat is risking everything to speak out about China's crackdown on Uyghurs","Uyghur American activist Ferkat Jawdat shares how his advocacy against China's persecution of Uyghurs in Xinjiang has put his family at risk, including his mother's detention in a re-education camp."
"2119","NüVoices Podcast #31: Seeking creativity through multimedia journalism with Yuan Ren","Journalist Yuan Ren discusses her shift from print to broadcast media and shares advice on multimedia journalism with NüVoices chair Joanna Chiu. They also reflect on building careers in Western media as women of Chinese descent."
"2125","Chinese opera is being revitalized—with a gender twist","A visit to a mountain village in Ninghai reveals Boar-Tooth Opera, a rare regional form of Chinese traditional theater being kept alive with unexpected gender dynamics in its modern revival."
"2130","Freelance: How to pitch Ariana magazine","A guide to pitching freelance feature ideas to Ariana, a print and digital magazine covering social justice issues in Hong Kong, Macao, and greater Asia, including topic guidelines and editorial preferences."
"2138","China, the World, and the COVID Story: How We Got Here and What Lies Ahead","A digital summit co-organized by Chinese Storytellers, NüVoices, and Young China Watchers featuring three webinars on the coronavirus pandemic and its geopolitical implications for China and the world."
"2149","Resources for China watchers to fight anti-Black racism","A curated collection of resources for China watchers to engage in anti-Black racism efforts, compiled by NüVoices members to encourage solidarity and intersectional awareness within Asia-focused communities."
"2174","How women artists are navigating China's complex feminist landscape","Luise Guest examines how women artists in China engage with feminism, tracing the movement from revolutionary figures like Qiu Jin to contemporary debates over its relevance and meaning."
"2194","NüVoices Podcast #32: Creative entrepreneurship with Qian Zhang","Qian Zhang, cross-border creative entrepreneur and founder of tea brand The Puer Movement, discusses her time at Alibaba's Global Leadership Academy, bridge-building across cultures, and her experience at Harvard Business School."
"2209","Our summit on China and the COVID Story with Chinese Storytellers and Young China Watchers was a sold-out success","NüVoices, Chinese Storytellers, and Young China Watchers hosted a sold-out digital summit exploring the geopolitical, cultural, and media dimensions of the COVID-19 pandemic through three expert panels."
"2243","UK to review Hong Kong British National Overseas status, but domestic violence victims are left out of the discussion","The UK announces a review of British National Overseas status rights for Hong Kong passport holders amid Beijing's national security law, but advocates say domestic violence victims remain excluded from the discussion."
"2312","NüVoices Podcast #34: April Zhu on reporting from Nairobi, part 1","April Zhu, a freelance journalist based in Nairobi, discusses her reporting on gender, urban inequality, and China-Kenya relations with NüVoices board member Cindy Gao."
"2295","Hu Jie: The Chinese documentary filmmaker exposing the harsh realities of early Communist Party rule","Chinese documentary filmmaker Hu Jie is known for his trilogy on Maoist China, documenting the realities of the Great Leap Forward and Cultural Revolution despite government pressure."
"2318","NüVoices Podcast #35: The nation of diaspora: April Zhu on reporting from Nairobi, part 2","April Zhu, a freelance journalist based in Nairobi, discusses reporting on gender, urban inequality, and China–Kenya relations, including violence in informal settlements and the need for nuance in China-Africa discourse."
"2322","NüVoices Podcast #36: Mobility for Africa, with Shantha Bloemen","Shantha Bloemen, founding director of Mobility for Africa, discusses South-South development, gender-driven social enterprise, China's role in Africa, and renewable energy with NüVoices board member Chenni Xu."
"2330","NüVoices and YCW London presents: Gender and climate change in China","NüVoices and Young China Watchers London hosted a digital panel on gender and climate change in China, featuring journalist Karoline Kan and climate activist Zongqi Yu, moderated by Jessie Lau."
"2343","NüProfile: Grace Ly speaks about Chinese identities in France, anti-Asian racism, and exploring culture through food","Writer and podcaster Grace Ly discusses growing up Chinese-Cambodian in France, confronting anti-Asian racism, and reconnecting with her cultural heritage through food and storytelling."
"2357","NüVoices Podcast #37: Chinese cuisine in America, with Simone Tong","Cindy talks with chef Simone Tong, co-owner of Little Tong Noodle Shop and Silver Apricot in New York, about her life as a restaurateur during the pandemic, Chinese cuisine and identity in America, and the inspiration behind her food."
"2364","Please support NüVoices, registered non-profit","NüVoices announces its official recognition as a U.S. 501(c)(3) non-profit, making donations tax-deductible, and outlines ways to support its work through Patreon or PayPal."
"2401","IN PHOTOS: Capturing culture in Tibet as a French Canadian, Han Chinese tourist","A French-Canadian Chinese adoptee documents Tibetan culture in Qinghai province, photographing the complex dynamics between Han Chinese tourists and local Tibetan communities during a 2017 trip."
"2467","WATCH: Gender and climate change in China","A panel discussion exploring the intersection of gender and climate change in China, featuring journalist Karoline Kan and climate activist Zongqi Yu on how women and young people navigate environmental issues."
"2478","NüVoices Podcast #38: Fulbright’s exit from China and Hong Kong","This episode examines the cancellation of the Fulbright program in China and Hong Kong, featuring a panel of former scholarship recipients who discuss the program's significance and the impact of its loss on U.S.-China educational exchange."
"2491","NüProfile: Jinghua Qian on why ""China-watching"" is problematic, inclusion and un-belonging in Australia","Writer and journalist Jinghua Qian reflects on reporting in and on China, the problems with ""China-watching,"" diaspora representation, and navigating identity and un-belonging in Australia."
"2498","Review: Mulan reinforces Han ethnonationalism and the patriarchy","A critical review of Disney's Mulan examining historical inaccuracies in the film and arguing it reinforces Han ethnonationalism by erasing the original ballad's non-Han origins."
"2500","NüVoices Podcast #40: What’s next for Hollywood and China after ‘Mulan’ flop, with Becky Davis","Joanna Chiu speaks with Variety's China bureau chief Rebecca Davis about the Mulan remake's disappointing box-office performance in China and the future of Hollywood-China film collaborations amid rising U.S.-China tensions."
"2524","Review: My Prince Edward, a modern Hong Kong love story by writer-director Norris Wong","A review of My Prince Edward, a Hong Kong film by writer-director Norris Wong that explores female agency and societal expectations through the story of a couple falling out of love."
"2527","NüVoices Podcast #41: Development finance and Chinese identity, with Yunnan Chen","Yunnan Chen of the Overseas Development Institute joins Cindy to discuss China-Africa development finance, her fieldwork in Africa, and reflections on Chinese identity and growing up in the Asian diaspora in the UK."
"2547","NüVoices Podcast #42: Hong Kong media, redefined","This episode explores how journalists in Hong Kong have navigated the political shift following Beijing's national security legislation, featuring guest host Jennifer Creery of Hong Kong Free Press with reporters Mary Hui and Phoebe Kong."
"2553","WATCH: China's Black community speaks out on identity, racism and solidarity","Members of China's Black community share their experiences with identity, discrimination, and solidarity as the country's mainstream debate on racism grows amid global Black Lives Matter awareness."
"2561","NüVoices Podcast #43: Literary translation and language as resistance, with Anne Henochowicz","Anne Henochowicz discusses literary translation and language as resistance, exploring the translator's responsibility to original texts, the nuance of great translation, and COVID-19's impact on online discourse."
"2578","Losing a Grandmother, Learning Her Language","Tara Sun Vanacore reflects on her grandmother, influential Chinese-American novelist Yu Lihua, and how learning Mandarin deepened their bond and unlocked her grandmother's world."
"2659","NüVoices Podcast #39: Beijing Lights: A conversation with Huang Chenkuang","Anthony Tao speaks with journalist Huang Chenkuang about her interview series Beijing Lights, which profiles ordinary people on the margins of society in Beijing, exploring their stories, regrets, and dreams."
"2440","EXPLAINER: China's Domestic Violence Epidemic amid COVID-19","COVID-19 lockdowns sparked a surge in domestic violence across China. This explainer examines the history of anti-DV efforts and the cultural and legal challenges victims continue to face."
"2607","NüVoices Podcast #45: An uncertain future with guaranteed friction: U.S.-China economic coercion, with Ashley Feng","Researcher Ashley Feng joins NüVoices chair Joanna Chiu to discuss U.S.-China economic coercion, how tariffs and investment restrictions affect ordinary people, and what shifts in policy could mean after the 2020 U.S. election."
"2612","'Send me to the clouds' is a scathing indictment of the stigma surrounding leftover women","Teng Congcong's debut film Send Me to the Clouds follows a single woman in her 30s facing a cancer diagnosis, using her story to challenge the stigma of China's ""leftover women"" label while highlighting lives shaped by the One Child Policy."
